index,Date,Location,Confirmed Cases (Cumulative),Confirmed Cases: Daily Change,Active Cases (As of Date),Recovered Cases (Cumulative),In Hospital (As of Date),In Hospital: Daily Change,In Intensive Care (As of Date),In Intensive Care: Daily Change,Deaths (Cumulative),Deaths: Daily Change,Test Count: Edmonton,Test Count: Alberta,Test Percentage,Test Positivity Rate,Hospitalization Rate,Rate of Cases: Edmonton
0,2020/03/06,Edmonton Zone,0,,,,,,,,,,16,61,26,0,,
1,2020/03/09,Edmonton Zone,3,3,,,,,,,,,322,648,50,2.48,,
2,2020/03/10,Edmonton Zone,6,3,,,,,,,,,316,784,40,1.27,,
3,2020/03/11,Edmonton Zone,7,1,,,,,,,,,444,1334,33,0.45,,
4,2020/03/12,Edmonton Zone,7,0,,,,,,,,,399,1148,35,0.25,0.2,
5,2020/03/13,Edmonton Zone,8,1,,,,,,,,,452,1587,28,0.22,0.3,
6,2020/03/14,Edmonton Zone,14,6,,,,,,,,,567,1555,36,2.65,0.3,
7,2020/03/15,Edmonton Zone,15,1,,,,,,,,,570,1833,31,0.35,0.3,
8,2020/03/16,Edmonton Zone,22,7,,,,,,,,,591,1485,40,0.68,0.3,
9,2020/03/17,Edmonton Zone,30,8,,,,,,,,,776,2083,37,1.42,0.3,
10,2020/03/18,Edmonton Zone,34,4,,,,,,,,,841,2878,29,0.71,0.4,
11,2020/03/19,Edmonton Zone,43,9,,,,,,,,,746,2869,26,1.47,0.4,
12,2020/03/20,Edmonton Zone,54,11,,,,,,,,,1047,3594,29,0,0.2,
13,2020/03/21,Edmonton Zone,57,3,,,,,,,,,873,3507,25,0.34,0.2,
14,2020/03/22,Edmonton Zone,61,4,,,,,,,,,968,2854,34,0.41,0.2,
15,2020/03/23,Edmonton Zone,72,11,,,,,,,,,850,2728,31,1.18,0.2,
16,2020/03/24,Edmonton Zone,86,14,,,,,,,,,1036,3143,33,1.54,0.3,
17,2020/03/25,Edmonton Zone,98,12,,,,,,,,,403,1646,24,2.73,0.3,
18,2020/03/26,Edmonton Zone,103,5,,,,,,,,,376,1316,29,0.8,0.5,
19,2020/03/27,Edmonton Zone,126,23,,,,,,,,,1455,3697,39,1.37,0.6,
20,2020/03/28,Edmonton Zone,140,14,,,,,,,,,1047,2145,49,1.15,0.7,
21,2020/03/29,Edmonton Zone,149,9,,,,,,,,,855,1929,44,1.05,0.9,
22,2020/03/30,Edmonton Zone,166,17,,,,,,,,,1426,2549,56,1.05,1,
23,2020/03/31,Edmonton Zone,204,38,,,,,,,,,1625,4771,34,3.08,1.2,
24,2020/04/01,Edmonton Zone,250,46,,,,,,,,,1485,3610,41,2.76,1.1,
25,2020/04/02,Edmonton Zone,270,20,,,,,,,,,1085,4009,27,2.49,1.1,
26,2020/04/03,Edmonton Zone,282,12,,,,,,,,,396,1723,23,2.53,1,
27,2020/04/04,Edmonton Zone,295,13,,,,,,,,,553,1807,31,1.81,1,
28,2020/04/05,Edmonton Zone,316,21,270,77,,,,,4,,505,1187,43,4.55,0.8,
29,2020/04/06,Edmonton Zone,326,10,256,98,,,,,4,0,337,941,36,1.48,0.7,
30,2020/04/07,Edmonton Zone,337,11,243,121,,,,,4,0,486,1705,29,1.65,0.7,
31,2020/04/08,Edmonton Zone,347,10,232,139,,,,,5,1,461,1288,36,2.17,0.9,
32,2020/04/09,Edmonton Zone,356,9,235,144,,,,,7,2,630,2291,27,1.11,0.9,
33,2020/04/10,Edmonton Zone,358,2,192,189,,,,,7,0,945,2851,33,0.95,1,
34,2020/04/11,Edmonton Zone,366,8,183,205,,,,,7,0,889,2240,40,1.12,0.9,
35,2020/04/12,Edmonton Zone,370,4,168,224,,,,,7,0,454,2305,20,1.1,1.1,
36,2020/04/13,Edmonton Zone,372,2,158,236,,,,,8,1,532,2136,25,0.75,1,
37,2020/04/14,Edmonton Zone,377,5,,,,,,,8,0,506,2573,20,0.59,0.7,
38,2020/04/15,Edmonton Zone,387,10,,,,,,,8,0,877,3095,28,1.14,0.8,
39,2020/04/16,Edmonton Zone,394,7,138,283,,,,,8,0,763,2967,26,0.66,0.8,
40,2020/04/17,Edmonton Zone,399,5,128,297,,,,,8,0,1876,5341,35,0.43,0.7,
41,2020/04/18,Edmonton Zone,402,3,114,307,,,,,8,0,1237,3801,33,0.32,0.8,
42,2020/04/19,Edmonton Zone,408,6,113,316,,,,,9,1,1438,4371,33,0.42,0.7,
43,2020/04/20,Edmonton Zone,420,12,109,328,,,,,9,0,1163,4016,29,0.86,0.7,
44,2020/04/21,Edmonton Zone,425,5,105,337,,,,,9,0,1106,4314,26,0.54,0.9,
45,2020/04/22,Edmonton Zone,429,4,106,339,,,,,9,0,705,4058,17,0.71,0.6,
46,2020/04/23,Edmonton Zone,437,8,113,343,,,,,10,1,1014,4473,23,1.08,0.4,
47,2020/04/24,Edmonton Zone,449,12,116,349,,,,,10,0,1110,4531,24,1.35,0.4,
48,2020/04/25,Edmonton Zone,457,8,117,352,,,,,10,0,1145,4663,25,0.96,0.3,
49,2020/04/26,Edmonton Zone,461,4,118,356,,,,,10,0,1417,4303,33,0.49,0.2,
50,2020/04/27,Edmonton Zone,463,2,112,363,,,,,11,1,843,3445,24,0.59,0.2,
51,2020/04/28,Edmonton Zone,466,3,112,366,,,,,11,0,698,4363,16,1.15,0,
52,2020/04/29,Edmonton Zone,469,3,109,369,,,,,12,1,786,5077,15,1.02,0.1,
53,2020/04/30,Edmonton Zone,474,5,114,372,,,,,12,0,772,5035,15,1.17,0.1,
54,2020/05/01,Edmonton Zone,475,1,108,381,,,,,12,0,710,2846,25,0.42,0.1,
55,2020/05/02,Edmonton Zone,476,1,99,393,,,,,12,0,1295,4971,26,0.23,0.2,
56,2020/05/03,Edmonton Zone,478,2,96,395,,,,,12,0,945,3242,29,0.32,0.2,
57,2020/05/04,Edmonton Zone,479,1,91,399,,,,,12,0,685,2557,27,0.44,0.3,
58,2020/05/05,Edmonton Zone,482,3,82,409,,,,,12,0,679,3033,22,0.88,0.3,
59,2020/05/06,Edmonton Zone,482,0,75,418,,,,,12,0,514,2883,18,0,0.2,
60,2020/05/07,Edmonton Zone,484,2,71,425,12,,,,12,0,952,4136,23,0.32,0.2,
61,2020/05/08,Edmonton Zone,484,0,69,428,10,-2,,,12,0,984,3781,26,0,0.2,
62,2020/05/09,Edmonton Zone,486,2,65,432,9,-1,,,12,0,1167,4214,28,0.6,0.1,
63,2020/05/10,Edmonton Zone,490,4,62,437,9,0,,,12,0,1052,3259,32,0.76,0.1,
64,2020/05/11,Edmonton Zone,490,0,60,436,9,0,,,12,0,796,2794,28,0.13,0,
65,2020/05/12,Edmonton Zone,492,2,61,439,8,-1,,,12,0,1025,3756,27,0.49,0,
66,2020/05/13,Edmonton Zone,494,2,63,441,7,-1,2,,12,0,1081,4409,25,0.46,0,
67,2020/05/14,Edmonton Zone,494,0,61,444,9,2,2,0,12,0,1264,4769,27,0.55,0,
68,2020/05/15,Edmonton Zone,495,1,60,446,8,-1,2,0,12,0,838,4701,18,0.84,0,
69,2020/05/16,Edmonton Zone,496,1,60,446,8,0,3,1,12,0,722,3986,18,0.14,0,
70,2020/05/17,Edmonton Zone,496,0,58,448,9,1,3,0,12,0,972,3189,30,0.41,0.1,
71,2020/05/18,Edmonton Zone,496,0,58,448,9,0,2,-1,12,0,983,3229,30,0.2,0.1,
72,2020/05/19,Edmonton Zone,497,1,59,450,5,-4,2,0,12,0,573,2503,23,0.35,0.1,
73,2020/05/20,Edmonton Zone,499,2,61,451,7,2,1,-1,12,0,684,3277,21,0.73,0.1,
74,2020/05/21,Edmonton Zone,499,0,58,453,5,-2,1,0,13,1,684,3722,18,0.29,0.1,
75,2020/05/22,Edmonton Zone,499,0,55,455,5,0,1,0,13,0,651,3823,17,0,0.1,
76,2020/05/23,Edmonton Zone,500,1,55,455,5,0,1,0,13,0,805,3861,21,0.5,0.1,
77,2020/05/24,Edmonton Zone,501,1,52,459,5,0,1,0,13,0,927,3234,29,0.22,0,
78,2020/05/25,Edmonton Zone,501,0,49,462,5,0,1,0,13,0,847,2958,29,0,0,
79,2020/05/26,Edmonton Zone,503,2,52,462,4,-1,1,0,13,0,735,3056,24,0.68,0.1,
80,2020/05/27,Edmonton Zone,506,3,53,462,6,2,1,0,13,0,732,3607,20,0.55,0.1,
81,2020/05/28,Edmonton Zone,507,1,55,463,8,2,1,0,13,0,1017,3902,26,0.2,0.1,
82,2020/05/29,Edmonton Zone,517,10,67,464,9,1,1,0,13,0,1003,3863,26,2.19,0.2,
83,2020/05/30,Edmonton Zone,522,5,69,464,9,0,1,0,13,0,937,3366,28,0.64,0.2,
84,2020/05/31,Edmonton Zone,531,9,44,497,9,0,1,0,13,0,953,3132,30,1.36,0.2,
85,2020/06/01,Edmonton Zone,534,3,45,502,9,0,1,0,13,0,779,2746,28,0.39,0.2,
86,2020/06/02,Edmonton Zone,539,5,45,505,10,1,1,0,13,0,766,4060,19,1.04,0.1,
87,2020/06/03,Edmonton Zone,541,2,47,506,9,-1,1,0,13,0,1194,4781,25,0.42,0.1,
88,2020/06/04,Edmonton Zone,549,8,57,504,8,-1,1,0,13,0,1706,5416,31,0.64,0.1,
89,2020/06/05,Edmonton Zone,571,22,76,505,6,-2,1,0,13,0,1650,5604,29,1.58,0,
90,2020/06/06,Edmonton Zone,583,12,,,,,,,13,0,1398,5870,24,1.07,0,
91,2020/06/07,Edmonton Zone,600,17,106,494,6,,1,,13,0,1792,5491,33,0.95,0.1,
92,2020/06/08,Edmonton Zone,611,11,112,498,5,-1,1,0,13,0,1936,4976,39,0.62,0.1,
93,2020/06/09,Edmonton Zone,628,17,134,498,6,1,2,1,13,0,1815,5923,31,1.1,0.1,
94,2020/06/10,Edmonton Zone,651,23,140,509,7,1,2,0,13,0,2167,6850,32,1.29,0.4,
95,2020/06/11,Edmonton Zone,670,19,149,515,9,2,2,0,13,0,2909,8479,34,0.65,0.5,
96,2020/06/12,Edmonton Zone,683,13,160,515,10,1,2,0,13,0,1912,6183,31,0.73,0.8,
97,2020/06/13,Edmonton Zone,692,9,169,526,10,0,3,1,13,0,2749,7665,36,0.58,0.8,
98,2020/06/14,Edmonton Zone,711,19,175,526,8,-2,2,-1,13,0,2770,7459,37,0.83,0.8,
99,2020/06/15,Edmonton Zone,732,21,190,529,10,2,2,0,13,0,2825,6365,44,0.71,1.2,
100,2020/06/16,Edmonton Zone,746,14,201,533,12,2,2,0,13,0,2873,6969,41,0.63,1.4,
101,2020/06/17,Edmonton Zone,767,21,200,556,12,0,2,0,14,1,3115,7821,40,0.83,1.2,
102,2020/06/18,Edmonton Zone,793,26,211,569,12,0,2,0,14,0,4246,9100,47,0.68,1.2,
103,2020/06/19,Edmonton Zone,822,29,226,583,11,-1,2,0,14,0,3621,7401,49,1.05,0.9,
104,2020/06/20,Edmonton Zone,845,23,238,594,9,-2,3,1,14,0,3789,8326,46,0.9,0.9,
105,2020/06/21,Edmonton Zone,856,11,236,607,9,0,2,-1,14,0,2142,6894,31,0.47,1,
106,2020/06/22,Edmonton Zone,882,26,236,635,12,3,2,0,14,0,2805,6540,43,0.93,0.7,
107,2020/06/23,Edmonton Zone,909,27,250,650,13,1,2,0,14,0,2488,6514,38,1.13,0.7,
108,2020/06/24,Edmonton Zone,919,10,237,673,16,3,2,0,15,1,2480,6367,39,0.52,0.6,
109,2020/06/25,Edmonton Zone,941,22,241,688,13,-3,2,0,15,0,2847,6633,43,0.81,0.7,
110,2020/06/26,Edmonton Zone,957,16,228,715,14,1,2,0,15,0,1664,6391,26,1.14,0.8,
111,2020/06/27,Edmonton Zone,980,23,242,727,16,2,2,0,15,0,2884,6509,44,0.94,0.8,
112,2020/06/28,Edmonton Zone,1013,33,257,754,18,2,3,1,15,0,3141,6996,45,1.15,0.8,
113,2020/06/29,Edmonton Zone,1028,15,246,767,18,0,3,0,15,0,3113,7198,43,0.45,0.7,
114,2020/06/30,Edmonton Zone,1044,16,,,,,,,15,0,2706,6947,39,0.55,0.5,
115,2020/07/01,Edmonton Zone,1067,23,233,820,17,,3,,15,0,3109,7675,41,0.84,0.5,
116,2020/07/02,Edmonton Zone,1087,20,240,833,19,2,4,1,15,0,3657,6735,54,0.63,0.5,
117,2020/07/03,Edmonton Zone,1092,5,,,,,,,15,0,2051,5958,34,0.34,0.7,
118,2020/07/04,Edmonton Zone,1110,18,,,,,,,15,0,1849,5546,33,1.03,1.4,
119,2020/07/05,Edmonton Zone,1129,19,234,879,30,,3,,17,2,2463,5593,44,1.06,1.4,
120,2020/07/06,Edmonton Zone,1157,28,243,897,30,0,3,0,17,0,3130,6016,52,1.02,1.4,81.4
121,2020/07/07,Edmonton Zone,1175,18,232,926,29,-1,4,1,17,0,2589,6265,41,0.89,1.7,82.6
122,2020/07/08,Edmonton Zone,1179,4,215,944,27,-2,4,0,20,3,3098,6964,44,0.36,1.9,82.9
123,2020/07/09,Edmonton Zone,1202,23,203,980,30,3,6,2,19,-1,3633,7801,47,0.72,1.7,84.5
124,2020/07/10,Edmonton Zone,1216,14,,,,,,,,,3468,7528,46,0.58,1.6,
125,2020/07/11,Edmonton Zone,1240,24,,,,,,,,,3889,9995,39,0.62,1,
126,2020/07/12,Edmonton Zone,1252,12,199,1034,25,,4,,19,,2818,7591,37,0.67,0.8,88.1
127,2020/07/13,Edmonton Zone,1274,22,198,1055,27,2,4,0,21,2,2106,5801,36,1.09,1.2,89.6
128,2020/07/14,Edmonton Zone,1287,13,194,1072,30,3,3,-1,21,0,2469,6372,39,0.77,1,90.5
129,2020/07/15,Edmonton Zone,1311,24,217,1072,29,-1,2,-1,22,1,2967,8211,36,0.98,0.9,92.2
130,2020/07/16,Edmonton Zone,1334,23,213,1098,28,-1,4,2,23,1,2552,6472,39,1.06,0.9,93.8
131,2020/07/17,Edmonton Zone,1355,21,,,,,,,,,2595,9710,27,0.89,0.9,
132,2020/07/18,Edmonton Zone,1374,19,,,,,,,,,2240,6853,33,1.03,0.8,
133,2020/07/19,Edmonton Zone,1391,17,225,1141,29,,7,,25,,2600,6949,37,0.81,1,97.8
134,2020/07/20,Edmonton Zone,1415,24,233,1156,29,0,7,0,26,1,2949,7813,38,1.05,0.6,99.5
135,2020/07/21,Edmonton Zone,1440,25,236,1176,29,0,7,0,28,2,3247,8146,40,0.83,0.6,101.3
