ID #,Year,Month,# of Users,DateTime
36,2013,Dec-13,8761,12/31/2013 12:00:00 AM
24,2012,Dec-12,9969,12/31/2012 12:00:00 AM
12,2011,Dec-11,14365,12/31/2011 12:00:00 AM
37,2014,Jan-14,13515,01/31/2014 12:00:00 AM
1,2011,Jan-11,8048,01/31/2011 12:00:00 AM
2,2011,Feb-11,8928,02/28/2011 12:00:00 AM
3,2011,Mar-11,11674,03/31/2011 12:00:00 AM
4,2011,Apr-11,19147,04/30/2011 12:00:00 AM
5,2011,May-11,24174,05/31/2011 12:00:00 AM
6,2011,Jun-11,23532,06/30/2011 12:00:00 AM
7,2011,Jul-11,23564,07/31/2011 12:00:00 AM
8,2011,Aug-11,25973,08/31/2011 12:00:00 AM
9,2011,Sep-11,23347,09/30/2011 12:00:00 AM
10,2011,Oct-11,23069,10/31/2011 12:00:00 AM
11,2011,Nov-11,17202,11/30/2011 12:00:00 AM
13,2012,Jan-12,12876,01/31/2012 12:00:00 AM
14,2012,Feb-12,10895,02/28/2012 12:00:00 AM
15,2012,Mar-12,14949,03/31/2012 12:00:00 AM
16,2012,Apr-12,17120,04/30/2012 12:00:00 AM
17,2012,May-12,24241,05/31/2012 12:00:00 AM
18,2012,Jun-12,24079,06/30/2012 12:00:00 AM
19,2012,Jul-12,24802,07/31/2012 12:00:00 AM
20,2012,Aug-12,25641,08/31/2012 12:00:00 AM
21,2012,Sep-12,22719,09/30/2012 12:00:00 AM
22,2012,Oct-12,21921,10/31/2012 12:00:00 AM
23,2012,Nov-12,12798,11/30/2012 12:00:00 AM
25,2013,Jan-13,12803,01/31/2013 12:00:00 AM
26,2013,Feb-13,11244,02/28/2013 12:00:00 AM
27,2013,Mar-13,11967,03/31/2013 12:00:00 AM
28,2013,Apr-13,17957,04/30/2013 12:00:00 AM
29,2013,May-13,26639,05/31/2013 12:00:00 AM
30,2013,Jun-13,23961,06/30/2013 12:00:00 AM
31,2013,Jul-13,26796,07/31/2013 12:00:00 AM
32,2013,Aug-13,26812,08/31/2013 12:00:00 AM
33,2013,Sep-13,23414,09/30/2013 12:00:00 AM
34,2013,Oct-13,24553,10/31/2013 12:00:00 AM
35,2013,Nov-13,14394,11/30/2013 12:00:00 AM
38,2014,Feb-14,10040,02/28/2014 12:00:00 AM
39,2014,Mar-14,12757,03/31/2014 12:00:00 AM
40,2014,Apr-14,20777,04/30/2014 12:00:00 AM
45,2014,Sep-14,24451,09/30/2014 12:00:00 AM
44,2014,Aug-14,26784,08/31/2014 12:00:00 AM
43,2014,Jul-14,26810,07/31/2014 12:00:00 AM
42,2014,Jun-14,25512,06/30/2014 12:00:00 AM
41,2014,May-14,26958,05/31/2014 12:00:00 AM
46,2014,Oct-14,23882,10/31/2014 12:00:00 AM
47,2014,Nov-14,14252,11/30/2014 12:00:00 AM
48,2014,Dec-14,12530,12/31/2014 12:00:00 AM
49,2015,Jan-15,13436,01/31/2015 12:00:00 AM
50,2015,Feb-15,9870,02/28/2015 12:00:00 AM
73,2017,Jan-17,14698,01/31/2017 12:00:00 AM
72,2016,Dec-16,15194,12/31/2016 12:00:00 AM
75,2017,Mar-17,16934,03/31/2017 12:00:00 AM
53,2015,May-15,31273,05/31/2015 12:00:00 AM
51,2015,Mar-15,14702,03/31/2015 12:00:00 AM
52,2015,Apr-15,26022,04/30/2015 12:00:00 AM
74,2017,Feb-17,13974,02/28/2017 12:00:00 AM
54,2015,Jun-15,30575,06/30/2015 12:00:00 AM
55,2015,Jul-15,31841,07/31/2015 12:00:00 AM
56,2015,Aug-15,31052,08/31/2015 12:00:00 AM
76,2017,Apr-17,22796,04/30/2017 12:00:00 AM
77,2017,May-17,35166,05/31/2017 12:00:00 AM
57,2015,Sep-15,27737,09/30/2015 12:00:00 AM
58,2015,Oct-15,19622,10/31/2015 12:00:00 AM
59,2015,Nov-15,16864,11/30/2015 12:00:00 AM
60,2015,Dec-15,15317,12/31/2015 12:00:00 AM
61,2016,Jan-16,14641,01/31/2016 12:00:00 AM
62,2016,Feb-16,14262,02/29/2016 12:00:00 AM
80,2017,Aug-17,33865,08/31/2017 12:00:00 AM
65,2016,May-16,29742,05/31/2016 12:00:00 AM
78,2017,Jun-17,33006,06/30/2017 12:00:00 AM
63,2016,Mar-16,18157,03/31/2016 12:00:00 AM
64,2016,Apr-16,28917,04/30/2016 12:00:00 AM
66,2016,Jun-16,29781,06/30/2016 12:00:00 AM
67,2016,Jul-16,30816,07/31/2016 12:00:00 AM
68,2016,Aug-16,31546,08/31/2016 12:00:00 AM
69,2016,Sep-16,28870,09/30/2016 12:00:00 AM
70,2016,Oct-16,24008,10/31/2016 12:00:00 AM
71,2016,Nov-16,21365,11/30/2016 12:00:00 AM
79,2017,Jul-17,33129,07/31/2017 12:00:00 AM
81,2017,Sep-17,30209,09/30/2017 12:00:00 AM
88,2018,Apr-18,20030,04/30/2018 12:00:00 AM
87,2018,Mar-18,13329,03/31/2018 12:00:00 AM
83,2017,Nov-17,16640,11/01/2017 12:00:00 AM
84,2017,Dec-17,12929,12/31/2017 12:00:00 AM
82,2017,Oct-17,27621,10/31/2017 12:00:00 AM
86,2018,Feb-18,9877,02/28/2018 12:00:00 AM
85,2018,Jan-18,15411,01/31/2018 12:00:00 AM
