Month,Vacancies
"2001 MAY",567.0
"2001 JUN",563.0
"2001 JUL",553.0
"2001 AUG",552.0
"2001 SEP",535.0
"2001 OCT",526.0
"2001 NOV",511.0
"2001 DEC",513.0
"2002 JAN",521.0
"2002 FEB",523.0
"2002 MAR",524.0
"2002 APR",518.0
"2002 MAY",518.0
"2002 JUN",514.0
"2002 JUL",517.0
"2002 AUG",517.0
"2002 SEP",519.0
"2002 OCT",516.0
"2002 NOV",512.0
"2002 DEC",512.0
"2003 JAN",503.0
"2003 FEB",501.0
"2003 MAR",498.0
"2003 APR",500.0
"2003 MAY",493.0
"2003 JUN",488.0
"2003 JUL",490.0
"2003 AUG",502.0
"2003 SEP",514.0
"2003 OCT",518.0
"2003 NOV",521.0
"2003 DEC",525.0
"2004 JAN",528.0
"2004 FEB",534.0
"2004 MAR",539.0
"2004 APR",544.0
"2004 MAY",546.0
"2004 JUN",555.0
"2004 JUL",555.0
"2004 AUG",555.0
"2004 SEP",558.0
"2004 OCT",563.0
"2004 NOV",568.0
"2004 DEC",575.0
"2005 JAN",569.0
"2005 FEB",554.0
"2005 MAR",547.0
"2005 APR",554.0
"2005 MAY",557.0
"2005 JUN",553.0
"2005 JUL",546.0
"2005 AUG",543.0
"2005 SEP",532.0
"2005 OCT",525.0
"2005 NOV",527.0
"2005 DEC",533.0
"2006 JAN",528.0
"2006 FEB",519.0
"2006 MAR",518.0
"2006 APR",517.0
"2006 MAY",524.0
"2006 JUN",530.0
"2006 JUL",532.0
"2006 AUG",532.0
"2006 SEP",538.0
"2006 OCT",539.0
"2006 NOV",539.0
"2006 DEC",540.0
"2007 JAN",544.0
"2007 FEB",555.0
"2007 MAR",560.0
"2007 APR",566.0
"2007 MAY",574.0
"2007 JUN",578.0
"2007 JUL",588.0
"2007 AUG",586.0
"2007 SEP",587.0
"2007 OCT",591.0
"2007 NOV",591.0
"2007 DEC",592.0
"2008 JAN",598.0
"2008 FEB",609.0
"2008 MAR",602.0
"2008 APR",589.0
"2008 MAY",568.0
"2008 JUN",558.0
"2008 JUL",542.0
"2008 AUG",537.0
"2008 SEP",525.0
"2008 OCT",500.0
"2008 NOV",469.0
"2008 DEC",441.0
"2009 JAN",421.0
"2009 FEB",413.0
"2009 MAR",408.0
"2009 APR",400.0
"2009 MAY",389.0
"2009 JUN",389.0
"2009 JUL",399.0
"2009 AUG",397.0
"2009 SEP",398.0
"2009 OCT",399.0
"2009 NOV",410.0
"2009 DEC",413.0
"2010 JAN",420.0
"2010 FEB",419.0
"2010 MAR",426.0
"2010 APR",434.0
"2010 MAY",438.0
"2010 JUN",430.0
"2010 JUL",413.0
"2010 AUG",409.0
"2010 SEP",411.0
"2010 OCT",425.0
"2010 NOV",430.0
"2010 DEC",437.0
"2011 JAN",431.0
"2011 FEB",422.0
"2011 MAR",413.0
"2011 APR",404.0
"2011 MAY",407.0
"2011 JUN",407.0
"2011 JUL",411.0
"2011 AUG",413.0
"2011 SEP",418.0
"2011 OCT",412.0
"2011 NOV",411.0
"2011 DEC",411.0
"2012 JAN",410.0
"2012 FEB",405.0
"2012 MAR",404.0
"2012 APR",411.0
"2012 MAY",416.0
"2012 JUN",423.0
"2012 JUL",428.0
"2012 AUG",432.0
"2012 SEP",433.0
"2012 OCT",438.0
"2012 NOV",445.0
"2012 DEC",441.0
"2013 JAN",445.0
"2013 FEB",447.0
"2013 MAR",457.0
"2013 APR",462.0
"2013 MAY",474.0
"2013 JUN",480.0
"2013 JUL",479.0
"2013 AUG",491.0
"2013 SEP",493.0
"2013 OCT",507.0
"2013 NOV",508.0
"2013 DEC",517.0
"2014 JAN",530.0
"2014 FEB",545.0
"2014 MAR",564.0
"2014 APR",577.0
"2014 MAY",587.0
"2014 JUN",590.0
"2014 JUL",600.0
"2014 AUG",602.0
"2014 SEP",620.0
"2014 OCT",625.0
"2014 NOV",632.0
"2014 DEC",635.0
"2015 JAN",641.0
"2015 FEB",651.0
"2015 MAR",646.0
"2015 APR",648.0
"2015 MAY",646.0
"2015 JUN",654.0
"2015 JUL",658.0
"2015 AUG",658.0
"2015 SEP",658.0
"2015 OCT",661.0
"2015 NOV",667.0
"2015 DEC",675.0
"2016 JAN",674.0
"2016 FEB",674.0
"2016 MAR",668.0
"2016 APR",669.0
"2016 MAY",670.0
"2016 JUN",670.0
"2016 JUL",675.0
"2016 AUG",674.0
"2016 SEP",678.0
"2016 OCT",670.0
"2016 NOV",665.0
"2016 DEC",659.0
"2017 JAN",672.0
"2017 FEB",682.0
"2017 MAR",699.0
"2017 APR",696.0
"2017 MAY",697.0
"2017 JUN",697.0
"2017 JUL",707.0
"2017 AUG",715.0
"2017 SEP",716.0
"2017 OCT",724.0
"2017 NOV",725.0
"2017 DEC",726.0
"2018 JAN",722.0
"2018 FEB",724.0
"2018 MAR",717.0
"2018 APR",730.0
"2018 MAY",740.0
"2018 JUN",746.0
"2018 JUL",750.0
"2018 AUG",756.0
"2018 SEP",764.0
"2018 OCT",760.0
"2018 NOV",754.0
"2018 DEC",751.0
"2019 JAN",745.0
"2019 FEB",743.0
"2019 MAR",743.0
"2019 APR",744.0
"2019 MAY",737.0
"2019 JUN",739.0
"2019 JUL",738.0
"2019 AUG",743.0
"2019 SEP",729.0
"2019 OCT",719.0
"2019 NOV",717.0
"2019 DEC",714.0
"2020 JAN",721.0
"2020 FEB",701.0
"2020 MAR",568.0
"2020 APR",427.0
"2020 MAY",304.0
"2020 JUN",332.0
"2020 JUL",381.0
"2020 AUG",429.0
"2020 SEP",466.0
"2020 OCT",486.0
"2020 NOV",511.0
"2020 DEC",524.0
"2021 JAN",523.0
"2021 FEB",529.0
