"TERMS AND CONDITIONS"
"https://www.bankofcanada.ca/terms/"

"SERIES"
"id","label","description"
"FXAUDCAD","AUD/CAD","Australian dollar to Canadian dollar daily exchange rate"
"FXCHFCAD","CHF/CAD","Swiss franc to Canadian dollar daily exchange rate"
"FXCNYCAD","CNY/CAD","Chinese renminbi to Canadian dollar daily exchange rate"
"FXEURCAD","EUR/CAD","European euro to Canadian dollar daily exchange rate"
"FXGBPCAD","GBP/CAD","UK pound sterling to Canadian dollar daily exchange rate"
"FXJPYCAD","JPY/CAD","Japanese yen to Canadian dollar daily exchange rate"
"FXMXNCAD","MXN/CAD","Mexican peso to Canadian dollar daily exchange rate"
"FXNZDCAD","NZD/CAD","New Zealand dollar to Canadian dollar daily exchange rate"
"FXSEKCAD","SEK/CAD","Swedish krona to Canadian dollar daily exchange rate"
"FXUSDCAD","USD/CAD","US dollar to Canadian dollar daily exchange rate"

"OBSERVATIONS"
"date","FXAUDCAD","FXCHFCAD","FXCNYCAD","FXEURCAD","FXGBPCAD","FXJPYCAD","FXMXNCAD","FXNZDCAD","FXSEKCAD","FXUSDCAD"
"2017-01-03","0.9702","1.3064","0.1930","1.3973","1.6459","0.01140","0.06439","0.9295","0.1465","1.3435"
"2017-01-04","0.9678","1.3005","0.1920","1.3930","1.6377","0.01134","0.06242","0.9251","0.1460","1.3315"
"2017-01-05","0.9708","1.3083","0.1922","1.4008","1.6400","0.01145","0.06195","0.9285","0.1468","1.3244"
"2017-01-06","0.9668","1.3020","0.1911","1.3953","1.6275","0.01133","0.06213","0.9230","0.1461","1.3214"
"2017-01-09","0.9728","1.3020","0.1907","1.3967","1.6084","0.01138","0.06202","0.9276","0.1460","1.3240"
"2017-01-10","0.9732","1.3012","0.1909","1.3970","1.6075","0.01141","0.06113","0.9236","0.1458","1.3213"
"2017-01-11","0.9788","1.2976","0.1905","1.3916","1.6056","0.01140","0.06040","0.9274","0.1455","1.3250"
"2017-01-12","0.9842","1.3008","0.1903","1.3966","1.6024","0.01148","0.06041","0.9348","0.1469","1.3106"
"2017-01-13","0.9831","1.3016","0.1903","1.3967","1.5996","0.01144","0.06075","0.9339","0.1473","1.3141"
"2017-01-16","0.9837","1.3013","0.1907","1.3950","1.5865","0.01153","0.06075","0.9345","0.1470","1.3152"
