year,spots
1704,36
1709,8
1714,11
1719,39
1724,21
1729,73
1734,16
1739,101
1744,5 
1749,80.9
1754,12.2
1759,54
1764,36.4
1769,106.1 
1774,30.6
1779,125.9
1784,10.2 
1789,118.1
1794,41
1799,6.8
1804,47.5 
1809,2.5
1814,13.9
1819,23.9
1824,8.5
1829,67
1834,13.2
1839,85.7
1844,15
1849,96.3
1854,20.6
1859,93.8
1864,47
1869,74
1874,44.7
1879,6
1884,63.5
1889,6.3 
1894,78
1899,12.1
1904,42
1909,43.9
1914,9.6
1919,63.6
1924,16.7
1929,64.9
1934,8.7
1939,88.8
1944,9.6 
1949,134.7
1954,4.4 
1959,159
1964,10.2 
1969,105.5
1974,34.5
1979,155.4 
1984,45.9
1989,157.6 
1994,29.9
1999,93.4
2004,40.4
2009,3.1
2014,79.3
,
