ID,Date,MONTH,YEAR,REPORT_PERIOD,POPULATION,NUMBER_INJURIES,INJURIES_PER_1000,TARGET_INJURY_RATE
1,01/01/2010 12:00:00 AM,JANUARY,2010,JANUARY 2010,793000,372,5.6,6.6
2,02/01/2010 12:00:00 AM,FEBRUARY,2010,FEBRUARY 2010,793000,346,5.4,6.6
3,03/01/2010 12:00:00 AM,MARCH,2010,MARCH 2010,793000,386,5.6,6.6
4,04/01/2010 12:00:00 AM,APRIL,2010,APRIL 2010,793000,377,5.6,6.6
5,05/01/2010 12:00:00 AM,MAY,2010,MAY 2010,793000,421,5.8,6.6
6,06/01/2010 12:00:00 AM,JUNE,2010,JUNE 2010,793000,402,5.8,6.6
7,07/01/2010 12:00:00 AM,JULY,2010,JULY 2010,793000,367,5.8,6.6
8,08/01/2010 12:00:00 AM,AUGUST,2010,AUGUST 2010,793000,386,5.8,6.6
9,09/01/2010 12:00:00 AM,SEPTEMBER,2010,SEPTEMBER 2010,793000,495,6,6.6
10,10/01/2010 12:00:00 AM,OCTOBER,2010,OCTOBER 2010,793000,490,6.1,6.6
11,11/01/2010 12:00:00 AM,NOVEMBER,2010,NOVEMBER 2010,793000,465,6.2,6.6
12,12/01/2010 12:00:00 AM,DECEMBER,2010,DECEMBER 2010,793000,403,6.2,6.6
13,01/01/2011 12:00:00 AM,JANUARY,2011,JANUARY 2011,812201,392,5.8,6.6
14,02/01/2011 12:00:00 AM,FEBRUARY,2011,FEBRUARY 2011,812201,322,5.3,6.6
15,03/01/2011 12:00:00 AM,MARCH,2011,MARCH 2011,812201,386,5.4,6.6
16,04/01/2011 12:00:00 AM,APRIL,2011,APRIL 2011,812201,312,5.2,6.6
17,05/01/2011 12:00:00 AM,MAY,2011,MAY 2011,812201,333,5.2,6.6
18,06/01/2011 12:00:00 AM,JUNE,2011,JUNE 2011,812201,385,5.2,6.6
19,07/01/2011 12:00:00 AM,JULY,2011,JULY 2011,812201,391,5.3,6.6
20,08/01/2011 12:00:00 AM,AUGUST,2011,AUGUST 2011,812201,400,5.4,6.6
21,09/01/2011 12:00:00 AM,SEPTEMBER,2011,SEPTEMBER 2011,812201,427,5.5,6.6
22,10/01/2011 12:00:00 AM,OCTOBER,2011,OCTOBER 2011,812201,422,5.6,6.6
23,11/01/2011 12:00:00 AM,NOVEMBER,2011,NOVEMBER 2011,812201,314,5.5,6.6
24,12/01/2011 12:00:00 AM,DECEMBER,2011,DECEMBER 2011,812201,362,5.5,6.6
25,01/01/2012 12:00:00 AM,JANUARY,2012,JANUARY 2012,817498,292,4.3,6.6
26,02/01/2012 12:00:00 AM,FEBRUARY,2012,FEBRUARY 2012,817498,310,4.4,6.6
27,03/01/2012 12:00:00 AM,MARCH,2012,MARCH 2012,817498,341,4.6,6.6
28,04/01/2012 12:00:00 AM,APRIL,2012,APRIL 2012,817498,267,4.4,6.6
29,05/01/2012 12:00:00 AM,MAY,2012,MAY 2012,817498,322,4.5,6.6
30,06/01/2012 12:00:00 AM,JUNE,2012,JUNE 2012,817498,394,4.7,6.6
31,07/01/2012 12:00:00 AM,JULY,2012,JULY 2012,817498,393,4.9,6.6
32,08/01/2012 12:00:00 AM,AUGUST,2012,AUGUST 2012,817498,473,5.1,6.6
33,09/01/2012 12:00:00 AM,SEPTEMBER,2012,SEPTEMBER 2012,817498,420,5.2,6.6
34,10/01/2012 12:00:00 AM,OCTOBER,2012,OCTOBER 2012,817498,396,5.3,6.6
35,11/01/2012 12:00:00 AM,NOVEMBER,2012,NOVEMBER 2012,817498,357,5.3,6.6
36,12/01/2012 12:00:00 AM,DECEMBER,2012,DECEMBER 2012,817498,373,5.3,6.6
